UF,Município,co_municipio_ibge,Laboratório,Total de Doses Aplicadas,1ª Dose,2ª Dose,Dose Reforço,2ª Dose Reforço,Dose Adicional,Dose Única
AC,Acrelândia,120001,Astrazeneca,8.002,4.014,3.726,262,0,0,0
AC,Acrelândia,120001,Pfizer,7.724,3.176,2.320,2.215,12,1,0
AC,Acrelândia,120001,Coronavac,4.025,2.392,1.633,0,0,0,0
AC,Acrelândia,120001,Janssen,579,0,0,334,0,0,245
AC,Assis Brasil,120005,Pfizer,6.006,2.263,1.561,2.049,8,125,0
AC,Assis Brasil,120005,Coronavac,5.378,2.991,2.365,17,0,5,0
AC,Assis Brasil,120005,Astrazeneca,5.028,2.502,2.207,190,1,128,0
AC,Assis Brasil,120005,Janssen,217,0,0,78,3,48,88
AC,Brasiléia,120010,Pfizer,17.653,8.096,5.412,3.847,11,287,0
AC,Brasiléia,120010,Astrazeneca,14.056,6.880,6.058,1.095,4,19,0
AC,Brasiléia,120010,Coronavac,5.738,3.246,2.487,4,0,1,0
AC,Brasiléia,120010,Janssen,241,0,0,74,0,0,167
AC,Bujari,120013,Pfizer,9.665,4.211,3.225,2.203,20,6,0
AC,Bujari,120013,Astrazeneca,7.854,3.774,3.321,755,0,4,0
AC,Bujari,120013,Coronavac,3.221,1.869,1.342,10,0,0,0
AC,Bujari,120013,Janssen,397,0,0,247,0,0,150
AC,Capixaba,120017,Astrazeneca,5.901,3.190,2.603,102,0,6,0
AC,Capixaba,120017,Pfizer,3.904,1.269,912,1.696,1,26,0
AC,Capixaba,120017,Coronavac,3.627,1.983,1.618,25,0,1,0
AC,Capixaba,120017,Janssen,641,0,0,113,1,26,501
AC,Cruzeiro Do Sul,120020,Pfizer,77.937,36.183,27.405,14.337,4,8,0
AC,Cruzeiro Do Sul,120020,Astrazeneca,56.616,26.333,24.551,5.722,1,9,0
AC,Cruzeiro Do Sul,120020,Coronavac,19.015,10.357,8.631,26,0,1,0
AC,Cruzeiro Do Sul,120020,Janssen,1.477,0,0,605,3,23,846
AC,Cruzeiro Do Sul,120020,-,323,241,76,6,0,0,0
AC,Epitaciolândia,120025,Pfizer,11.055,4.692,3.341,3.001,16,5,0
AC,Epitaciolândia,120025,Astrazeneca,9.147,4.821,4.206,118,1,1,0
