Município [-],Código [-],Gentílico [-],Prefeito [2021],Área Territorial - km² [2020],População estimada - pessoas [2021],Densidade demográfica - hab/km² [2010],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2019],Receitas realizadas - R$ (×1000) [2017],Despesas empenhadas - R$ (×1000) [2017],PIB per capita - R$ [2018]
Abreu e Lima,2600054,abreu-limense,FLÁVIO VIEIRA GADELHA DE ALBUQUERQUE,"126,384",100698,"748,29","97,2","0,679","6,66","154773,90211","150392,49413","17320,77"
Afogados da Ingazeira,2600104,afogadense,ALESANDRO PALMEIRA DE VASCONCELOS LEITE,"377,696",37546,"92,9","97,3","0,657","8,53","84524,28825","84199,55326","11753,3"
Afrânio,2600203,afraniense,RAFAEL ANTONIO CAVALCANTI,"1490,594",19981,"11,8","98,7","0,588","35,43","48071,21326","46130,64133","8510,74"
Agrestina,2600302,agrestinense,JOSUÉ MENDES DA SILVA,"200,369",25240,"112,58","96,4","0,592","18,46","61063,16654","60315,06588","10300,13"
Água Preta,2600401,água-pretense,NOELINO MAGALHAES OLIVEIRA LYRA,"533,332",37386,"62,05",94,"0,553","9,41","71553,7248","66100,20886","6748,57"
Águas Belas,2600500,águas-belense,LUIZ AROLDO REZENDE DE LIMA,"885,988",43923,"45,41","96,1","0,526","15,63","84026,49512","81990,36581","8140,21"
Alagoinha,2600609,alagoinhense,UILAS LEAL DA SILVA,"216,452",14798,"63,16","96,3","0,599","26,32","37869,57675","34348,50055","9132,16"
Aliança,2600708,aliancense,XISTO LOURENÇO DE FREITAS NETO,"272,773",38408,"137,16",97,"0,604","13,46","74882,94228","78786,39428","8207,74"
Altinho,2600807,altinense,ORLANDO JOSÉ DA SILVA,"450,178",22996,"49,18","96,9","0,598","8,1","41122,6787","43489,6886","7489,78"
Amaraji,2600906,amarajinense,ALINE DE ANDRADE GOUVEIA,"234,956",22910,"93,37","96,6","0,58","7,66","49759,73815","49201,102","9811,16"
Angelim,2601003,angelinense,MARCIO DOUGLAS CAVALCANTI DUARTE,"118,037",11301,"86,43","96,4","0,572","13,99","31575,19313","28332,47878","10702,15"
Araçoiaba,2601052,araçoiabense,CARLOS JOGLI ALBUQUERQUE TAVARES UCHÔA,"96,36",20936,"188,38",97,"0,592","22,01","42647,83708","39742,10425","6877,9"
