,Municipio,Codigo_IBGE,Populacao,Populacao_60+
0,Adamantina,3500105,33894,7398
1,Adolfo,3500204,3447,761
2,Aguaí,3500303,35608,5245
3,Águas da Prata,3500402,7797,1729
4,Águas de Lindóia,3500501,18374,3275
5,Águas de Santa Bárbara,3500550,5931,1106
6,Águas de São Pedro,3500600,3122,764
7,Agudos,3500709,36134,5524
8,Alambari,3500758,5779,830
9,Alfredo Marcondes,3500808,3927,907
10,Altair,3500907,4036,552
11,Altinópolis,3501004,15553,2980
12,Alto Alegre,3501103,4017,964
13,Alumínio,3501152,17972,2230
14,Álvares Florence,3501202,3621,991
15,Álvares Machado,3501301,23789,4267
16,Álvaro de Carvalho,3501400,5044,583
17,Alvinlândia,3501509,3176,505
18,Americana,3501608,233458,40276
19,Américo Brasiliense,3501707,40243,4465
20,Américo de Campos,3501806,5736,1267
21,Amparo,3501905,69639,12727
22,Analândia,3502002,4850,813
23,Andradina,3502101,56054,10776
24,Angatuba,3502200,24501,3775
25,Anhembi,3502309,6672,975
26,Anhumas,3502408,3963,680
27,Aparecida,3502507,35709,6043
28,Aparecida d'Oeste,3502606,4132,997
29,Apiaí,3502705,24666,3685
30,Araçariguama,3502754,20980,2193
31,Araçatuba,3502804,190469,35257
32,Araçoiaba da Serra,3502903,32390,5103
33,Aramina,3503000,5496,980
34,Arandu,3503109,6165,1030
35,Arapeí,3503158,2471,433
36,Araraquara,3503208,227618,40188
37,Araras,3503307,131057,21594
38,Arco-Íris,3503356,1816,414
39,Arealva,3503406,8196,1774
40,Areias,3503505,3843,562
41,Areiópolis,3503604,10857,1303
42,Ariranha,3503703,9320,1475
43,Artur Nogueira,3503802,52609,6762
44,Arujá,3503901,89744,10776
45,Aspásia,3503950,1765,402
46,Assis,3504008,101381,18181
47,Atibaia,3504107,139606,21916
48,Auriflama,3504206,14471,2825
49,Avaí,3504305,5288,853
50,Avanhandava,3504404,12114,1541
51,Avaré,3504503,87538,14398
52,Bady Bassitt,3504602,16329,2565
53,Balbinos,3504701,3704,306
54,Bálsamo,3504800,8524,1712
55,Bananal,3504909,10651,1900
56,Barão de Antonina,3505005,3383,637
57,Barbosa,3505104,7284,1122
58,Bariri,3505203,33993,6061
59,Barra Bonita,3505302,34914,6605
60,Barra do Chapéu,3505351,5530,802
61,Barra do Turvo,3505401,7687,1274
62,Barretos,3505500,118048,20239
63,Barrinha,3505609,32338,3336
64,Barueri,3505708,264390,29409
65,Bastos,3505807,20301,3549
