[Município],Cód. IBGE,UF,Região,Fabricante,Total de doses aplicadas,1ª Dose D1,2ª Dose D2,Dose Adicional DA,Dose Reforço DR,Dose Única DU
Abadia De Goiás,520005,GO,Centro-Oeste,BUTANTAN/SINOVAC,7.170,3.952,3.212,1,5,0
Abadia De Goiás,520005,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,7.371,3.792,3.574,0,5,0
Abadia De Goiás,520005,GO,Centro-Oeste,JANSSEN,182,0,0,3,13,166
Abadia De Goiás,520005,GO,Centro-Oeste,PFIZER/BIONTECH,9.223,4.826,3.055,30,1.312,0
Abadia Dos Dourados,310010,MG,Sudeste,BUTANTAN/SINOVAC,2.691,1.393,1.296,0,2,0
Abadia Dos Dourados,310010,MG,Sudeste,FIOCRUZ/ASTRAZENECA,5.457,2.797,2.653,0,7,0
Abadia Dos Dourados,310010,MG,Sudeste,JANSSEN,181,0,10,0,14,157
Abadia Dos Dourados,310010,MG,Sudeste,PFIZER/BIONTECH,4.500,1.839,1.568,24,1.069,0
Abadiânia,520010,GO,Centro-Oeste,BUTANTAN/SINOVAC,4.969,2.639,2.326,0,4,0
Abadiânia,520010,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,9.718,4.958,4.757,0,3,0
Abadiânia,520010,GO,Centro-Oeste,JANSSEN,348,0,0,6,19,323
Abadiânia,520010,GO,Centro-Oeste,PFIZER/BIONTECH,7.500,3.181,2.390,34,1.895,0
Abaeté,310020,MG,Sudeste,BUTANTAN/SINOVAC,11.812,6.115,5.694,0,3,0
Abaeté,310020,MG,Sudeste,FIOCRUZ/ASTRAZENECA,13.612,7.119,6.487,0,6,0
Abaeté,310020,MG,Sudeste,JANSSEN,830,1,0,0,291,538
Abaeté,310020,MG,Sudeste,PFIZER/BIONTECH,16.570,6.491,5.036,83,4.960,0
Abaetetuba,150010,PA,Norte,BUTANTAN/SINOVAC,31.183,17.188,13.939,3,53,0
Abaetetuba,150010,PA,Norte,FIOCRUZ/ASTRAZENECA,141.713,74.603,64.577,35,2.498,0
Abaetetuba,150010,PA,Norte,JANSSEN,2.462,2,0,19,670,1.771
Abaetetuba,150010,PA,Norte,PFIZER/BIONTECH,35.001,18.886,10.525,156,5.434,0
Abaiara,230010,CE,Nordeste,BUTANTAN/SINOVAC,3.959,2.220,1.726,0,13,0
Abaiara,230010,CE,Nordeste,FIOCRUZ/ASTRAZENECA,3.974,2.180,1.794,0,0,0
Abaiara,230010,CE,Nordeste,JANSSEN,213,192,0,0,3,18
Abaiara,230010,CE,Nordeste,PFIZER/BIONTECH,4.625,2.453,1.996,4,172,0
Abaíra,290010,BA,Nordeste,BUTANTAN/SINOVAC,3.500,1.765,1.730,0,5,0
Abaíra,290010,BA,Nordeste,FIOCRUZ/ASTRAZENECA,6.765,3.460,3.301,0,4,0
Abaíra,290010,BA,Nordeste,JANSSEN,69,1,0,0,13,55
Abaíra,290010,BA,Nordeste,PFIZER/BIONTECH,4.394,1.186,959,5,2.244,0
Abaré,290020,BA,Nordeste,BUTANTAN/SINOVAC,8.020,4.127,3.891,0,2,0
Abaré,290020,BA,Nordeste,FIOCRUZ/ASTRAZENECA,9.518,4.853,4.448,0,217,0
Abaré,290020,BA,Nordeste,JANSSEN,370,1,0,1,121,247
Abaré,290020,BA,Nordeste,PFIZER/BIONTECH,12.001,5.814,4.011,511,1.665,0
Abatiá,410010,PR,Sul,BUTANTAN/SINOVAC,2.968,1.504,1.458,0,6,0
Abatiá,410010,PR,Sul,FIOCRUZ/ASTRAZENECA,5.445,2.766,2.678,0,1,0
Abatiá,410010,PR,Sul,JANSSEN,252,0,0,11,72,169
Abatiá,410010,PR,Sul,PFIZER/BIONTECH,4.306,1.588,1.218,1.216,284,0
Abdon Batista,420005,SC,Sul,BUTANTAN/SINOVAC,1.124,567,557,0,0,0
Abdon Batista,420005,SC,Sul,FIOCRUZ/ASTRAZENECA,1.736,870,866,0,0,0
Abdon Batista,420005,SC,Sul,JANSSEN,74,0,0,1,11,62
Abdon Batista,420005,SC,Sul,PFIZER/BIONTECH,2.090,683,601,12,794,0
Abel Figueiredo,150013,PA,Norte,BUTANTAN/SINOVAC,2.429,1.419,1.009,0,1,0
Abel Figueiredo,150013,PA,Norte,FIOCRUZ/ASTRAZENECA,3.990,2.188,1.802,0,0,0
Abel Figueiredo,150013,PA,Norte,JANSSEN,161,0,0,0,6,155
Abel Figueiredo,150013,PA,Norte,PFIZER/BIONTECH,1.713,1.005,425,2,281,0
Abelardo Luz,420010,SC,Sul,BUTANTAN/SINOVAC,6.814,3.551,3.259,1,3,0
Abelardo Luz,420010,SC,Sul,FIOCRUZ/ASTRAZENECA,10.676,5.447,5.217,2,10,0
Abelardo Luz,420010,SC,Sul,JANSSEN,907,0,1,11,291,604
Abelardo Luz,420010,SC,Sul,PFIZER/BIONTECH,10.283,4.661,3.585,44,1.993,0
Abre Campo,310030,MG,Sudeste,BUTANTAN/SINOVAC,4.564,2.353,2.210,0,1,0
Abre Campo,310030,MG,Sudeste,FIOCRUZ/ASTRAZENECA,7.106,3.620,3.482,0,4,0
Abre Campo,310030,MG,Sudeste,JANSSEN,625,0,0,3,201,421
Abre Campo,310030,MG,Sudeste,PFIZER/BIONTECH,8.146,3.784,2.482,20,1.860,0
Abreu E Lima,260005,PE,Nordeste,BUTANTAN/SINOVAC,30.355,16.165,14.171,3,16,0
Abreu E Lima,260005,PE,Nordeste,FIOCRUZ/ASTRAZENECA,51.509,27.486,24.007,2,14,0
Abreu E Lima,260005,PE,Nordeste,JANSSEN,1.409,222,1,3,188,995
Abreu E Lima,260005,PE,Nordeste,PFIZER/BIONTECH,50.438,26.607,17.323,135,6.373,0
Abreulândia,170025,TO,Norte,BUTANTAN/SINOVAC,663,349,314,0,0,0
Abreulândia,170025,TO,Norte,FIOCRUZ/ASTRAZENECA,1.767,940,827,0,0,0
Abreulândia,170025,TO,Norte,JANSSEN,60,0,0,0,20,40
Abreulândia,170025,TO,Norte,PFIZER/BIONTECH,1.048,460,273,0,315,0
Acaiaca,310040,MG,Sudeste,BUTANTAN/SINOVAC,1.627,825,800,0,2,0
Acaiaca,310040,MG,Sudeste,FIOCRUZ/ASTRAZENECA,3.134,1.646,1.484,0,4,0
Acaiaca,310040,MG,Sudeste,JANSSEN,87,0,0,0,6,81
Acaiaca,310040,MG,Sudeste,PFIZER/BIONTECH,2.281,1.093,725,13,450,0
Açailândia,210005,MA,Nordeste,BUTANTAN/SINOVAC,20.855,11.660,9.176,1,18,0
Açailândia,210005,MA,Nordeste,FIOCRUZ/ASTRAZENECA,49.114,28.748,20.325,4,37,0
Açailândia,210005,MA,Nordeste,JANSSEN,2.881,5,0,9,116,2.751
Açailândia,210005,MA,Nordeste,PFIZER/BIONTECH,55.729,28.620,19.587,112,7.410,0
Acajutiba,290030,BA,Nordeste,BUTANTAN/SINOVAC,5.042,2.837,2.195,0,7,3
Acajutiba,290030,BA,Nordeste,FIOCRUZ/ASTRAZENECA,5.683,3.441,2.240,0,2,0
Acajutiba,290030,BA,Nordeste,JANSSEN,336,0,0,0,91,245
Acajutiba,290030,BA,Nordeste,PFIZER/BIONTECH,6.445,3.464,1.585,6,1.390,0
Acará,150020,PA,Norte,BUTANTAN/SINOVAC,9.756,5.735,4.007,0,14,0
Acará,150020,PA,Norte,FIOCRUZ/ASTRAZENECA,29.250,17.952,11.247,0,51,0
Acará,150020,PA,Norte,JANSSEN,999,0,0,11,5,983
Acará,150020,PA,Norte,PFIZER/BIONTECH,8.953,5.759,2.503,10,681,0
Acarape,230015,CE,Nordeste,BUTANTAN/SINOVAC,6.029,3.426,2.603,0,0,0
Acarape,230015,CE,Nordeste,FIOCRUZ/ASTRAZENECA,4.154,2.378,1.775,0,1,0
Acarape,230015,CE,Nordeste,JANSSEN,219,180,0,0,9,30
Acarape,230015,CE,Nordeste,PFIZER/BIONTECH,5.122,2.881,1.602,8,631,0
Acaraú,230020,CE,Nordeste,BUTANTAN/SINOVAC,21.894,12.515,9.375,0,4,0
Acaraú,230020,CE,Nordeste,FIOCRUZ/ASTRAZENECA,22.206,12.446,9.759,0,1,0
Acaraú,230020,CE,Nordeste,JANSSEN,677,562,0,0,10,105
Acaraú,230020,CE,Nordeste,PFIZER/BIONTECH,16.749,12.118,3.704,8,919,0
Acari,240010,RN,Nordeste,BUTANTAN/SINOVAC,4.759,2.426,2.333,0,0,0
Acari,240010,RN,Nordeste,FIOCRUZ/ASTRAZENECA,7.110,3.630,3.478,1,1,0
Acari,240010,RN,Nordeste,JANSSEN,363,3,1,0,111,248
Acari,240010,RN,Nordeste,PFIZER/BIONTECH,8.346,3.299,2.770,189,2.088,0
Acauã,220005,PI,Nordeste,BUTANTAN/SINOVAC,2.437,1.221,1.214,0,2,0
Acauã,220005,PI,Nordeste,FIOCRUZ/ASTRAZENECA,4.722,2.401,2.293,0,28,0
Acauã,220005,PI,Nordeste,JANSSEN,154,0,0,0,7,147
Acauã,220005,PI,Nordeste,PFIZER/BIONTECH,4.366,2.035,1.532,3,796,0
Aceguá,430003,RS,Sul,BUTANTAN/SINOVAC,1.598,774,824,0,0,0
Aceguá,430003,RS,Sul,FIOCRUZ/ASTRAZENECA,4.637,2.560,2.057,0,20,0
Aceguá,430003,RS,Sul,JANSSEN,171,0,0,1,37,133
Aceguá,430003,RS,Sul,PFIZER/BIONTECH,2.667,932,633,4,1.098,0
