Semana epidemiológica,SRAG: obitos 2016,SRAG: obitos cumulativo 2016,SRAG: obitos 2017,SRAG: obitos cumulativo 2017,SRAG: obitos cumulativo 2018,SRAG: obitos cumulativo 2019,SRAG: obitos cumulativo 2020,COVID: obitos 2020,SRAG: obitos cumulativo 2021,COVID: obitos 2021,Semana epidemiologica inicio,SRAG: obitos cumulativo inicio,COVID: obitos inicio
1,27,27,40,40,49,44,82,0,,202631,1,82,0
2,27,54,37,77,91,85,167,0,,209296,2,167,0
3,34,88,29,106,127,130,253,0,304415,216445,3,253,0
4,27,115,36,142,160,172,336,0,310907,223945,4,336,0
5,39,154,38,180,197,209,442,0,319646,230034,5,442,0
6,42,196,36,216,234,250,513,0,328861,238532,6,513,0
7,54,250,52,268,268,308,594,0,337444,245997,7,594,0
8,79,329,41,309,307,380,708,9,349627,254221,8,708,9
9,111,440,61,370,363,443,828,23,,,9,828,23
10,126,566,46,416,420,520,1138,112,,,10,1138,112
11,215,781,55,471,482,604,1938,406,,,11,1938,406
12,333,1114,96,567,560,681,4282,1350,,,12,4282,1350
13,462,1576,77,644,654,777,7800,2882,,,13,7800,2882
14,499,2075,77,721,804,890,12375,5207,,,14,12375,5207
15,452,2527,105,826,987,1024,18325,8544,,,15,18325,8544
16,368,2895,99,925,1202,1166,26373,13455,,,16,26373,13455
17,360,3255,89,1014,1400,1329,36807,20062,,,17,36807,20062
18,370,3625,117,1131,1618,1493,49164,28194,,,18,49164,28194
19,340,3965,107,1238,1819,1699,61012,36112,,,19,61012,36112
20,321,4286,127,1365,2060,1913,73112,44257,,,20,73112,44257
21,257,4543,121,1486,2298,2163,83675,51323,,,21,83675,51323
22,266,4809,130,1616,2528,2408,93256,57595,,,22,93256,57595
23,244,5053,107,1723,2742,2626,103569,64494,,,23,103569,64494
24,271,5324,103,1826,2971,2834,112890,70770,,,24,112890,70770
25,217,5541,116,1942,3204,3032,122554,77519,,,25,122554,77519
26,170,5711,100,2042,3431,3209,131261,83568,,,26,131261,83568
27,155,5866,91,2133,3658,3382,141262,90587,,,27,141262,90587
28,148,6014,103,2236,3863,3558,151071,97520,,,28,151071,97520
29,133,6147,91,2327,4042,3745,159847,103790,,,29,159847,103790
30,124,6271,66,2393,4190,3913,168482,109890,,,30,168482,109890
31,103,6374,77,2470,4315,4046,176339,115386,,,31,176339,115386
32,81,6455,60,2530,4404,4155,183600,120289,,,32,183600,120289
33,67,6522,59,2589,4515,4257,190873,125195,,,33,190873,125195
34,86,6608,53,2642,4634,4348,197412,129531,,,34,197412,129531
35,57,6665,66,2708,4719,4423,203327,133292,,,35,203327,133292
36,62,6727,51,2759,4789,4501,209322,137152,,,36,209322,137152
37,72,6799,61,2820,4862,4574,214546,140529,,,37,214546,140529
38,57,6856,47,2867,4929,4636,219338,143602,,,38,219338,143602
39,54,6910,35,2902,4979,4696,223846,146418,,,39,223846,146418
40,42,6952,51,2953,5022,4761,228652,149131,,,40,228652,149131
41,50,7002,56,3009,5082,4816,233032,151682,,,41,233032,151682
42,50,7052,65,3074,5130,4880,236535,153850,,,42,236535,153850
43,36,7088,49,3123,5166,4933,240202,156170,,,43,240202,156170
44,40,7128,33,3156,5201,4979,243797,158554,,,44,243797,158554
45,25,7153,29,3185,5238,5028,248351,161603,,,45,248351,161603
46,32,7185,21,3206,5279,5075,253578,165350,,,46,253578,165350
47,37,7222,27,3233,5322,5121,259723,169948,,,47,259723,169948
48,30,7252,7,3240,5366,5150,266051,174766,,,48,266051,174766
49,15,7267,17,3257,5404,5204,273563,180451,,,49,273563,180451
50,10,7277,7,3264,5439,5238,280607,185785,,,50,280607,185785
51,9,7286,4,3268,5473,5284,287195,190687,,,51,287195,190687
52,9,7295,4,3272,5502,5309,294179,195916,,,52,294179,195916
53,,,,,,,302294,202035,,,53,302294,202035
,,,,,,,,,,,1,,202631
,,,,,,,,,,,2,,209296
,,,,,,,,,,,3,304415,216445
,,,,,,,,,,,4,310907,223945
,,,,,,,,,,,5,319646,230034
,,,,,,,,,,,6,328861,238532
,,,,,,,,,,,7,337444,245997
,,,,,,,,,,,8,349627,254221
