Semana epidemiológica desde 2020,SRAG: obitos cumulativo desde 2020,COVID: obitos desde 2020,Inicio da semana epidemiologica,Fim da semana epidemiologica
1,82,0,,
2,167,0,,
3,253,0,,
4,336,0,,
5,442,0,,
6,513,0,,
7,594,0,,
8,708,9,15/02/20,22/02/20
9,828,23,23/02/20,29/02/20
10,1138,112,01/03/20,07/03/20
11,1938,406,08/03/20,14/03/20
12,4282,1350,15/03/20,21/03/20
13,7800,2882,22/03/20,28/03/20
14,12375,5207,29/03/20,04/04/20
15,18325,8544,05/04/20,11/04/20
16,26373,13455,12/04/20,18/04/20
17,36807,20062,19/04/20,25/04/20
18,49164,28194,26/04/20,02/05/20
19,61012,36112,03/05/20,09/05/20
20,73112,44257,10/05/20,16/05/20
21,83675,51323,17/05/20,23/05/20
22,93256,57595,24/05/20,30/05/20
23,103569,64494,31/05/20,06/06/20
24,112890,70770,07/06/20,13/06/20
25,122554,77519,14/06/20,20/06/20
26,131261,83568,21/06/20,27/06/20
27,141262,90587,28/06/20,04/07/20
28,151071,97520,05/07/20,11/07/20
29,159847,103790,12/07/20,18/07/20
30,168482,109890,19/07/20,25/07/20
31,176339,115386,26/07/20,01/08/20
32,183600,120289,02/08/20,08/08/20
33,190873,125195,09/08/20,15/08/20
34,197412,129531,16/08/20,22/08/20
35,203327,133292,23/08/20,29/08/20
36,209322,137152,30/08/20,05/09/20
37,214546,140529,06/09/20,12/09/20
38,219338,143602,13/09/20,19/09/20
39,223846,146418,20/09/20,26/09/20
40,228652,149131,27/09/20,03/10/20
41,233032,151682,04/10/20,10/10/20
42,236535,153850,11/10/20,17/10/20
43,240202,156170,18/10/20,24/10/20
44,243797,158554,25/10/20,31/10/20
45,248351,161603,01/11/20,07/11/20
46,253578,165350,08/11/20,14/11/20
47,259723,169948,15/11/20,21/11/20
48,266051,174766,22/11/20,28/11/20
49,273563,180451,29/11/20,05/12/20
50,280607,185785,06/12/20,12/12/20
51,287195,190687,13/12/20,19/12/20
52,294179,195916,20/12/20,26/12/20
53,302294,202035,27/12/20,02/01/21
54,303001,202631,03/01/21,09/01/21
55,303708,209296,10/01/21,16/01/21
56,304415,216445,17/01/21,23/01/21
57,310907,223945,24/01/21,30/01/21
58,319646,230034,31/01/21,06/02/21
59,328861,238532,07/02/21,13/02/21
60,337444,245997,14/02/21,20/02/21
61,349627,254221,21/02/21,27/02/21
62,364516,264325,28/02/21,06/03/21
63,380112,277102,07/03/21,13/03/21
64,397735,292752,14/03/21,20/03/21
65,420728,310550,21/03/21,27/03/21
66,438609,330193,28/03/21,03/04/21
67,464075,351334,04/04/21,10/04/21
68,501478,371678,11/04/21,17/04/21
