Semana epidemiológicaobito 2018,SRAG: óbitosobito 2018,Semana epidemiológicaobito 2019,SRAG: óbitosobito 2019,Semana epidemiológicaobito 2020,SRAG: óbitosobito 2020,Semana epidemiológicaobitocovid 2020,SRAG: óbitosobitocovid 2020,Semana epidemiológicaobitocovid 2021,SRAG: óbitosobitocovid 2021,Semana epidemiológicaÓbitos MS,SRAG: óbitosÓbitos MS
1,49,1,44,1,82,1,0,1,6009,1,6906
2,91,2,85,2,167,2,0,2,11589,2,13571
3,127,3,130,3,253,3,0,3,16155,3,20720
4,160,4,172,4,336,4,0,4,19775,4,28220
5,197,5,209,5,442,5,0,5,23282,5,35287
6,234,6,250,6,513,6,0,6,25663,6,42807
7,268,7,308,7,594,7,0,7,26794,7,50252
8,307,8,380,8,708,8,9,8,26945,8,58496
9,363,9,443,9,828,9,23,,,9,63546
10,420,10,520,10,1138,10,112,,,10,63546
11,482,11,604,11,1938,11,406,,,11,63546
12,560,12,681,12,4282,12,1350,,,12,63564
13,654,13,777,13,7800,13,2882,,,13,63660
14,804,14,890,14,12375,14,5207,,,14,63978
15,987,15,1024,15,18325,15,8544,,,15,64670
16,1202,16,1166,16,26373,16,13455,,,16,65893
17,1400,17,1329,17,36807,17,20062,,,17,67562
18,1618,18,1493,18,49164,18,28194,,,18,70270
19,1819,19,1699,19,61012,19,36112,,,19,74173
20,2060,20,1913,20,73112,20,44257,,,20,79179
21,2298,21,2163,21,83675,21,51323,,,21,85559
22,2528,22,2408,22,93256,22,57595,,,22,92380
23,2742,23,2626,23,103569,23,64494,,,23,99476
24,2971,24,2834,24,112890,24,70770,,,24,106266
25,3204,25,3032,25,122554,25,77519,,,25,113522
26,3431,26,3209,26,131261,26,83568,,,26,120616
27,3658,27,3382,27,141262,27,90587,,,27,127811
28,3863,28,3558,28,151071,28,97520,,,28,135015
29,4042,29,3745,29,159847,29,103790,,,29,142318
30,4190,30,3913,30,168482,30,109890,,,30,149995
31,4315,31,4046,31,176339,31,115386,,,31,157109
32,4404,32,4155,32,183600,32,120289,,,32,164023
33,4515,33,4257,33,190873,33,125195,,,33,170778
34,4634,34,4348,34,197412,34,129531,,,34,177796
35,4719,35,4423,35,203327,35,133292,,,35,184008
36,4789,36,4501,36,209322,36,137152,,,36,189749
37,4862,37,4574,37,214546,37,140529,,,37,194756
38,4929,38,4636,38,219338,38,143602,,,38,200078
39,4979,39,4696,39,223846,39,146418,,,39,204952
40,5022,40,4761,40,228652,40,149131,,,40,209533
41,5082,41,4816,41,233032,41,151682,,,41,213744
42,5130,42,4880,42,236535,42,153850,,,42,217221
43,5166,43,4933,43,240202,43,156170,,,43,220449
44,5201,44,4979,44,243797,44,158554,,,44,223430
45,5238,45,5028,45,248351,45,161603,,,45,225815
46,5279,46,5075,46,253578,46,165350,,,46,229204
47,5322,47,5121,47,259723,47,169948,,,47,232535
48,5366,48,5150,48,266051,48,174766,,,48,236107
49,5404,49,5204,49,273563,49,180451,,,49,240174
50,5439,50,5238,50,280607,50,185785,,,50,244669
51,5473,51,5284,51,287195,51,190687,,,51,249902
52,5502,52,5309,52,294179,52,195916,,,52,254341
,,,,53,302294,53,202035,,,53,259271
