Municipio,Cód. IBGE,UF,Região,Fabricante,Doses Aplicadas,Dose 1,Dose 2
Abadia De Goiás,520005,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,3720,2634,1086
Abadia De Goiás,520005,GO,Centro-Oeste,BUTANTAN/SINOVAC,3273,1783,1490
Abadia De Goiás,520005,GO,Centro-Oeste,PFIZER/BIONTECH,1568,1568,0
Abadia De Goiás,520005,GO,Centro-Oeste,JANSSEN,65,0,0
Abadia Dos Dourados,310010,MG,Sudeste,FIOCRUZ/ASTRAZENECA,3624,2711,913
Abadia Dos Dourados,310010,MG,Sudeste,BUTANTAN/SINOVAC,1939,1138,801
Abadia Dos Dourados,310010,MG,Sudeste,PFIZER/BIONTECH,1097,1097,0
Abadia Dos Dourados,310010,MG,Sudeste,JANSSEN,126,0,0
Abadiânia,520010,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,9013,6202,2811
Abadiânia,520010,GO,Centro-Oeste,BUTANTAN/SINOVAC,4774,2797,1977
Abadiânia,520010,GO,Centro-Oeste,PFIZER/BIONTECH,2680,2670,10
Abadiânia,520010,GO,Centro-Oeste,JANSSEN,321,0,0
Abaeté,310020,MG,Sudeste,FIOCRUZ/ASTRAZENECA,10927,6700,4227
Abaeté,310020,MG,Sudeste,BUTANTAN/SINOVAC,7490,4066,3424
Abaeté,310020,MG,Sudeste,PFIZER/BIONTECH,4470,4303,167
Abaeté,310020,MG,Sudeste,JANSSEN,498,0,0
Abaetetuba,150010,PA,Norte,FIOCRUZ/ASTRAZENECA,94015,79410,14605
Abaetetuba,150010,PA,Norte,BUTANTAN/SINOVAC,18187,9741,8446
Abaiara,230010,CE,Nordeste,BUTANTAN/SINOVAC,1397,825,572
Abaiara,230010,CE,Nordeste,FIOCRUZ/ASTRAZENECA,406,267,139
Abaiara,230010,CE,Nordeste,PFIZER/BIONTECH,17,17,0
Abaíra,290010,BA,Nordeste,FIOCRUZ/ASTRAZENECA,6954,3977,2977
Abaíra,290010,BA,Nordeste,BUTANTAN/SINOVAC,3219,1646,1573
Abaíra,290010,BA,Nordeste,PFIZER/BIONTECH,994,986,8
Abaíra,290010,BA,Nordeste,JANSSEN,39,0,0
Abaré,290020,BA,Nordeste,FIOCRUZ/ASTRAZENECA,7245,4517,2728
Abaré,290020,BA,Nordeste,BUTANTAN/SINOVAC,6499,3588,2911
Abaré,290020,BA,Nordeste,PFIZER/BIONTECH,3462,3410,52
Abaré,290020,BA,Nordeste,JANSSEN,220,0,0
Abatiá,410010,PR,Sul,FIOCRUZ/ASTRAZENECA,4383,2925,1458
Abatiá,410010,PR,Sul,BUTANTAN/SINOVAC,2517,1404,1113
Abatiá,410010,PR,Sul,PFIZER/BIONTECH,1032,1032,0
Abatiá,410010,PR,Sul,JANSSEN,176,0,0
Abdon Batista,420005,SC,Sul,FIOCRUZ/ASTRAZENECA,1772,1023,749
Abdon Batista,420005,SC,Sul,BUTANTAN/SINOVAC,1210,666,544
Abdon Batista,420005,SC,Sul,PFIZER/BIONTECH,604,604,0
Abdon Batista,420005,SC,Sul,JANSSEN,85,0,0
Abel Figueiredo,150013,PA,Norte,FIOCRUZ/ASTRAZENECA,2717,2013,704
Abel Figueiredo,150013,PA,Norte,BUTANTAN/SINOVAC,1173,879,294
Abel Figueiredo,150013,PA,Norte,JANSSEN,166,0,0
Abelardo Luz,420010,SC,Sul,FIOCRUZ/ASTRAZENECA,7594,5126,2468
Abelardo Luz,420010,SC,Sul,BUTANTAN/SINOVAC,4716,2796,1920
Abelardo Luz,420010,SC,Sul,PFIZER/BIONTECH,2665,2664,1
Abelardo Luz,420010,SC,Sul,JANSSEN,601,0,0
Abre Campo,310030,MG,Sudeste,FIOCRUZ/ASTRAZENECA,6097,4017,2080
Abre Campo,310030,MG,Sudeste,BUTANTAN/SINOVAC,4438,2461,1977
Abre Campo,310030,MG,Sudeste,PFIZER/BIONTECH,2778,2776,2
Abre Campo,310030,MG,Sudeste,JANSSEN,439,0,0
Abreu E Lima,260005,PE,Nordeste,FIOCRUZ/ASTRAZENECA,33753,26624,7129
Abreu E Lima,260005,PE,Nordeste,BUTANTAN/SINOVAC,28596,16573,12023
Abreu E Lima,260005,PE,Nordeste,PFIZER/BIONTECH,18258,18084,174
Abreu E Lima,260005,PE,Nordeste,JANSSEN,913,0,0
Abreulândia,170025,TO,Norte,FIOCRUZ/ASTRAZENECA,1684,1138,546
Abreulândia,170025,TO,Norte,BUTANTAN/SINOVAC,570,305,265
